Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2008/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2008 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
1061,"GANGA AT HARIDWAR D/S, UT",12.0,26.0,19.4,5.2,6.6,6.0,6.1,7.2,6.6,-,-,,-,4.2,7.6,5.4,,,,,,,3,4,4,24,1600,551
1062,"GANGA AT GARHMUKTESHWAR, U.P",10.0,25.0,19.9,7.0,10.0,8.5,7.2,7.7,7.5,162,337,,203,2.0,3.2,2.6,0.40,1.00,0.73,0.50,0.70,0.60,900,2600,1608,2100,7500,3361
1145,"GANGA AT NARORA, U.P",,,,7.6,8.9,8.4,7.4,8.4,7.9,118,260,,154,2,3.6,2.6,,,,,,,490,1800,1159,2200,9200,5025
1063,GANGA AT KANNAUJ U/S (RAJGHAT),15.0,34.0,26.2,5.6,10.4,7.4,7.2,8.8,8.0,42,740,,374,2.8,4.6,3.6,0.30,2.40,1.14,2.80,2.80,2.80,0,23000,3567,1500,75000,17358
1066,"GANGA AT KANNAUJ D/S, U.P",17.0,34.0,27.4,5.3,9.8,7.1,7.3,8.9,7.9,250,850,,425,3.0,5.2,4.1,0.30,1.90,1.16,0.10,0.60,0.35,900,15000,3080,3900,75000,14782
1146,"GANGA AT BITHOOR (KANPUR), U.P.",15.0,33.0,26.2,5.5,9.7,7.4,7.3,8.7,8.1,39,570,,307,2.4,5.6,3.5,0.20,2.60,1.31,0.10,1.20,0.65,400,23000,3125,2100,93000,13692
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",15.0,34.0,26.8,6.1,11.6,7.6,7.0,8.8,8.1,39,560,,357,2.4,5.2,3.4,0.20,2.80,1.52,,,,400,23000,3190,2100,93000,13555
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",15.0,34.0,26.8,1.6,9.9,5.6,7.4,8.8,8.0,67,860,,479,3.8,21.0,8.3,0.30,3.80,2.24,0.10,1.80,1.13,1500,46000,16818,15000,240000,94250
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",15.0,30.0,25.6,7.2,9.8,8.7,7.7,8.1,7.8,260,355,,314,3.1,3.9,3.4,0.60,0.80,0.67,0.40,0.50,0.43,4300,5200,4744,6100,7500,6778
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",15.0,31.5,24.5,7.2,10.2,8.4,8.1,8.3,8.3,266,634,,423,2.7,4.1,3.4,2.90,3.80,3.32,0.10,0.10,0.10,1100,6000,2400,2800,9000,4275
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",16.0,31.0,25.0,6.5,9.7,8.0,8.1,8.4,8.3,270,758,,469,3.3,5.4,4.0,2.60,3.20,2.90,0.10,0.10,0.10,1700,11000,5167,3500,17000,8875
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",25,30,27.2,8.3,8.7,8.5,7.4,7.7,7.5,230,363,,318,3.2,3.8,3.4,0.2,0.3,0.25,,,,11000,13000,11667,14000,23000,15500
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",25.5,29.5,27.4,6.5,7.9,7.3,8.4,8.9,8.6,264,397,,353,9.2,12.4,10.5,0.32,0.38,0.36,0.15,0.2,0.18,18000,110000,74500,94000,220000,144833
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",26,29,27.2,7.8,8.4,8.1,8,8.9,8.3,274,378,,339,3.6,4.8,4.3,0.26,0.34,0.30,,,,17000,27000,22250,26000,43000,32333
1074,"GANGA AT BUXAR,BIHAR",19.0,30.0,23.3,7.6,9.0,8.7,8.1,8.3,8.2,242,370,,336,2.2,2.7,2.4,,,,,,,2200,13000,4000,3000,24000,8083
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",18.0,31.0,24.0,7.8,9.3,8.4,7.6,8.4,8.0,262,465,,360,2.1,2.7,2.4,,,,,,,1300,17000,4992,2200,30000,9550
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",18.0,30.0,23.8,2.6,9.0,7.4,7.5,8.5,8.0,271,467,,377,2.3,2.9,2.6,,,,,,,5000,50000,14545,16000,90000,34545
1817,GANGA AT MOKAMA (U/S),17.0,31.0,23.8,7.8,9.1,8.5,7.5,8.6,8.1,308,378,,345,2.0,2.6,2.4,,,,,,,1700,17000,5245,3000,50000,12091
1815,GANGA AT MOKAMA (D/S),16.2,30.0,23.6,7.5,8.8,8.2,7.4,8.6,8.1,316,416,,370,2.4,2.9,2.6,,,,,,,5000,30000,13917,16000,90000,38500
1818,GANGA AT MUNGER,19.0,26.0,22.5,8.6,9.2,8.8,8.1,8.3,8.2,342,381,,355,2.0,2.5,2.3,,,,,,,1300,11000,4225,3000,22000,8750
1819,GANGA AT BHAGALPUR,20.0,24.0,22.0,8.6,9.0,8.8,8.2,8.2,8.2,353,386,,370,2.2,2.6,2.4,,,,,,,2200,13000,5800,5000,28000,12750
1816,GANGA AT KAHALGAON,19.0,25.0,22.5,8.2,9.4,8.8,8.1,8.3,8.2,342,381,,369,2.1,2.8,2.4,,,,,,,2400,22000,6100,5000,50000,16417
1080,GANGA AT BAHARAMPORE,19.5,35.5,27.8,5.9,9.1,7.4,7.3,8.6,8.0,183,358,,280,0.6,3.0,1.7,0.10,0.70,0.23,,,,17000,70000,29000,22000,110000,55667
1472,GANGA AT SERAMPORE,20.0,32.0,27.8,5.5,8.3,6.7,7.7,8.2,7.9,174,375,,292,1.4,2.2,1.8,0.10,0.60,0.35,,,,22000,110000,63000,80000,170000,105000
1053,GANGA AT DAKSHINESHWAR,18.0,31.5,27.4,4.1,8.2,6.1,7.4,8.2,7.8,201,378,,316,1.4,6.0,4.2,0.10,0.80,0.33,,,,35000,850000,283333,55000,1400000,605417
1471,GANGA AT HOWRAH-SHIVPUR,22.0,32.0,28.0,4.5,8.1,6.0,7.8,8.2,8.0,195,375,,307,1.6,2.3,1.9,0.20,0.40,0.28,,,,70000,135000,100000,150000,400000,221250
1470,GANGA AT GARDEN REACH,24.0,30.0,27.9,4.7,8.4,6.4,7.8,8.0,7.9,185,378,,308,1.3,2.8,2.3,0.20,0.30,0.28,,,,55000,400000,176250,85000,1100000,733750
1052,GANGA AT ULUBERIA,17.0,31.5,26.7,4.4,8.1,6.0,7.6,8.4,7.9,213,441,,319,1.0,5.4,2.8,0.10,0.50,0.30,,,,4000,170000,37000,8000,500000,103750
1054,GANGA AT PALTA WEST BENGAL,18.0,31.5,26.9,4.9,8.8,6.6,7.0,8.6,8.1,192,367,,296,0.6,1.8,1.3,0.10,0.50,0.29,,,,30000,110000,67500,70000,220000,133333
ESTUARINE ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,GANGA AT DIAMOND HARBOUR,21.0,31.0,27.5,5.3,7.4,6.1,7.8,7.8,7.8,219,6320,,1943,0.5,2.5,1.6,0.20,0.40,0.33,,,,4000,22000,11250,8000,130000,43250
http://cpcbenvis.nic.in/waterpollution/2008/RIVER%20GANGA.htm                                                                                                                                                                                                                                                                                                                                                                                                                  1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
