Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                            www.cpcbenvis.nic.in/waterpollution/2012/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2012 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13,28,22,0.6,8,6,7.2,8.8,7.8,214,619,388,1.6,12,6.2,,,,,,,300,1600,1375
1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,15,24,21,6,8.6,7.2,5.9,8.8,7.6,137,230,189,2.4,8.4,5.3,,,,,,,600,1600,1445
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15,24,21,7.2,9.2,7.9,6.8,8.8,7.8,135,202,158,1.4,4.2,2.6,,,,,,,160,500,258
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,13,26,20,7,9.8,8.6,7.2,7.6,7.4,170,260,220,2.8,3.9,3.4,0.13,0.97,0.4,21,1700,920,1000,4800,2125
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,19,7.4,12.5,9.2,7,7.5,7.3,170,314,222,1.8,5.2,3.1,0,0.75,0.26,320,360,352,490,910,662
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,17,23,20,7.6,12,9.2,7,7.6,7.4,160,323,230,1.6,5.6,3.2,0,1.06,0.31,350,550,428,700,1000,822
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,17,23,20,8,10.2,9.3,7,7.5,7.3,180,270,216,1.9,4,2.6,0,0.69,0.29,360,840,595,810,1400,1103
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,17,24,20,8.2,9.8,9,7,7.8,7.4,180,300,251,0.5,3.8,2.7,0,0.8,0.33,350,920,732,700,1700,1317
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,16,31,25,6.6,11.3,8.6,7.6,8.4,8.1,18,492,108,3,4.8,4,0,3.36,1.09,900,28000,4673,2100,93000,24164
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,16,31,25,6.4,10.8,8.3,7.9,8.5,8.1,18,476,108,3.8,5.8,4.8,0,2.54,0.94,700,39000,6045,2000,100000,29191
