Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2009/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2009 | ENVIS CPCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",18.0,30.0,25.4,6.5,7.9,7.2,8.2,8.9,8.5,330,397,370,1.0,12.8,9.4,0.36,1.28,0.57,0.04,0.42,0.27,46000,90000,74444,70000,140000,111556
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",18.5,30.5,26.1,7.6,8.2,7.9,8.2,8.6,8.4,336,387,364,3.6,4.4,4.0,0.32,0.40,0.35,0.03,0.36,0.20,17000,27000,22625,22000,34000,29000
2551,"GANGA AT BUXAR, RAMREKHAGHAT",17.0,22.0,20.3,8.0,9.2,8.5,8.0,8.5,8.3,344,362,350,2.5,2.9,2.8,0.36,0.44,0.41,,,,5000,9000,6333,16000,24000,18667
1074,"GANGA AT BUXAR,BIHAR",15.0,25.0,21.8,7.6,9.0,8.2,8.0,8.5,8.2,290,364,339,2.6,2.9,2.8,,,,,,,1100,5000,2264,2800,16000,6618
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",18.0,22.0,20.0,7.9,8.2,8.1,8.6,8.7,8.6,251,281,269,2.3,2.7,2.5,0.42,0.56,0.50,,,,500,1100,800,1100,3000,2167
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",25.0,25.0,25.0,8.6,8.6,8.6,8.8,8.8,8.8,262,262,262,2.7,2.7,2.7,0.76,0.76,0.76,,,,1300,1300,1300,2400,2400,2400
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",18.0,31.0,22.9,7.5,9.1,8.1,7.7,8.4,8.1,236,454,372,2.5,2.8,2.7,,,,,,,1300,3000,1630,2800,9000,4280
2552,GANGA DARBHANGA GHAT AT PATNA,20.0,23.0,21.7,7.8,8.5,8.0,8.1,8.2,8.1,338,406,369,2.7,2.8,2.8,0.32,0.38,0.35,,,,5000,5000,5000,16000,16000,16000
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",19.0,32.0,23.4,7.4,8.8,8.0,7.6,8.4,8.1,252,467,389,2.6,3.0,2.9,,,,,,,2200,9000,5600,9000,24000,18167
2555,"GANGA AT PUNPUN, PATNA",22.0,23.0,22.5,6.0,7.4,6.7,7.4,7.9,7.7,450,461,456,2.5,2.7,2.6,0.38,0.42,0.40,,,,1300,1300,1300,3000,3000,3000
2553,GANGA AT FATUHA,21.0,23.0,22.0,7.9,8.8,8.3,8.1,8.3,8.2,352,399,371,2.6,2.8,2.7,0.32,0.36,0.34,,,,1100,1700,1500,5000,5000,5000
1817,GANGA AT MOKAMA (U/S),17.0,26.0,21.7,7.4,8.7,8.0,8.0,8.9,8.2,312,476,378,2.8,3.0,2.9,,,,,,,1300,9000,4464,3000,24000,14727
1815,GANGA AT MOKAMA (D/S),18.0,31.5,23.1,7.5,9.0,8.1,7.5,8.3,8.1,307,462,362,2.6,2.9,2.7,,,,,,,1100,3000,1950,2200,24000,5983
1818,GANGA AT MUNGER,20.0,28.0,23.3,7.6,8.9,8.5,7.7,8.2,8.0,260,365,321,2.6,2.7,2.7,,,,,,,1300,2400,1900,2400,9000,5350
2554,"GANGA AT SULTANGANJ, BHAGALPUR",17.0,23.0,20.3,8.2,8.9,8.4,8.2,8.4,8.3,284,362,310,2.5,2.7,2.6,0.72,0.82,0.77,,,,2200,3000,2533,9000,9000,9000
1819,GANGA AT BHAGALPUR,19.0,30.0,23.3,7.6,9.0,8.2,7.9,8.2,8.1,322,412,361,2.7,2.9,2.8,,,,,,,1300,3000,1867,3000,9000,5000
